procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163574  24053 181806    0    0     0     0   28   37  0  1 99  0  0 2020-05-25 19:39:18
 0  0  91819 163574  24053 181806    0    0     0     0   49   77  1  0 99  0  0 2020-05-25 19:39:19
 0  0  91819 163574  24031 181806    0    0     0    12   77   86  0  0 100  0  0 2020-05-25 19:39:20
 0  0  91819 163574  24031 181806    0    0     0     0   55   49  0  0 100  0  0 2020-05-25 19:39:21
 0  0  91819 163574  24031 181806    0    0     0     0   46   63  0  0 100  0  0 2020-05-25 19:39:22
 0  0  91819 163574  24031 181806    0    0     0     0   32   37  0  0 100  0  0 2020-05-25 19:39:23
 0  0  91819 163574  24031 181806    0    0     0     0  136  111  1  1 98  0  0 2020-05-25 19:39:24
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163574  23980 181806    0    0     0    12  113  109  1  1 97  1  0 2020-05-25 19:39:25
 0  0  91819 163574  23980 181806    0    0     0     0   53   51  0  1 99  0  0 2020-05-25 19:39:26
 0  0  91819 163574  23980 181806    0    0     0     0   52   52  0  0 100  0  0 2020-05-25 19:39:27
 0  0  91819 163574  23980 181806    0    0     0     0   65   63  1  1 98  0  0 2020-05-25 19:39:28
 1  0  91819 163574  23980 181806    0    0     0     0   56   87  1  0 99  0  0 2020-05-25 19:39:29
 0  0  91819 163574  23888 181806    0    0     0    12   73   79  1  0 99  0  0 2020-05-25 19:39:30
 0  0  91819 163574  23888 181806    0    0     0     0   91   88  0  0 100  0  0 2020-05-25 19:39:31
 1  0  91819 163574  23888 181806    0    0     0     0   39   42  0  0 100  0  0 2020-05-25 19:39:32
 0  0  91819 163574  23888 181806    0    0     0     0  134  107  0  1 99  0  0 2020-05-25 19:39:33
 0  0  91819 163574  23888 181806    0    0     0     0   30   40  0  0 100  0  0 2020-05-25 19:39:34
 0  0  91819 163574  23888 181806    0    0     0     0   32   39  0  1 99  0  0 2020-05-25 19:39:35
 0  0  91819 163574  24123 181806    0    0     0    12   74   89  0  0 100  0  0 2020-05-25 19:39:36
 0  0  91819 163574  24123 181806    0    0     0     0   69   66  0  0 100  0  0 2020-05-25 19:39:37
