N,f=5_F=5,f=5_F=5_err,f=7_F=7,f=7_F=7_err
500,8531.06077969869,1243.9483735177807,,
1000,19301.234507369994,4244.804085437635,25991.778634134927,4994.25673424338
1500,31993.284330304465,4496.799087516204,40230.91060136159,5894.277503311476
2000,41889.01362101237,9790.490797367818,,
2500,58884.90619799296,10444.17547463981,,
